Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
,,2017-10-31,,,,1.01,2018-10-31,28,28,28,Former school buildings are already demolished (15/00830/DEM) but no application received for re-development.. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NT28SQLILR200,not permissioned,,"North Wingfield Primary School, Draycott Road, North Wingfield",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3399-nw-1605/file,NW/1605
,,2017-10-31,,,,0.41,2018-10-31,12,12,12,The site was part of a larger area which has had permission for a scheme of 43 dwellings covered by 3 applications but now expired.. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=KJZO7QLI03L00,not permissioned,,"103 Williamthorpe Road, North Wingfield",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3401-nw-2201/file,NW/2201
,,2017-10-31,,,,0.25,2018-10-31,8,8,8,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,,,,not permissioned,,"Garage site and Plots off Byron Grove, Stonebroom",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3402-s-h-902/file,S&H/902
,,2017-10-31,,,,5.38,2018-10-31,143,143,143,"This brownfield site is part of the larger Avenue Strategic Site.. In Oct 2007, planning permission (05/01143/OL) granted for a mix of uses including residential units (C3), commercial development (B1) and industrial development (B2) but expired.. http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-exam-library/03-supporting-docs-evidence-base/housing/2292-eb-hou6b-housing-sites-appendix-c/file",North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=INVLYJLII2000,not permissioned,,"Mill Lane, Wingerworth",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3405-ww-2201-a/file,WW/2201a
,,2017-10-31,,,,0.38,2018-10-31,2,2,2,Although located in the Green Belt it is considered that this proposal complies with para 89 of the 2012 NPPF.. Outline application with all matters reserved for two dwellings.,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2017-07-27,outline planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OQRTQLLIK2A00,permissioned,,"The Bungalow, Park Farm, Park Avenue, Holmesfield",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3412-17-00609-ol/file,17/00609/OL
yes,,2017-10-31,,,,0.2,2018-10-31,10,10,10,Conversion of existing buildings into residential dwellings and the development of 4 new dwellings on associated car park.,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,2017-12-14,full planning permission,,permissioned,,"NEDDC Area Housing Office, High Street, Dronfield, S18 1PY",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3413-17-00751-fl/file,17/00751/FL
,,2017-10-31,,,,0.11,2018-10-31,5,5,5,Proposed demolition of the existing Commercial Inn and construction of a purpose built residential care and nursing home,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,,full planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=NQ2ZQELIL9600&activeTab=summary,pending decision,,"Commercial Inn, Bridge Street, Pilsley, Chesterfield, S45 8HE",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3390-18-00596-fl/file,18/00596/FL
yes,,2017-10-31,,,,0.35,2018-10-31,2,2,2,Application for the construction of 2 detached dwellings,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2018-06-13,full planning permission,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OJPVQZLI06K00,permissioned,,"St Peter and St Paul Church, Rectory Road, Duckmanton, Chesterfield, S44 5JH",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3411-17-00054-fl/file,17/00054/FL
yes,,2017-10-31,,,,0.45,2018-10-31,1,1,1,Demolition of existing club and outbuildings and construction of 5 bed detached dwelling and garage,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,,full planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=M8JOI9LI2Z000&activeTab=summary,pending decision,,"Duckmanton Lodge, Chesterfield Road, Calow, Chesterfield, S44 5UJ",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3388-17-01059-fl/file,17/01059/FL
yes,,2017-10-31,,,,0.41,2018-10-31,5,5,5,The Council considers that the re-development of the site for five houses would not have an impact on the openness of the Green Belt compared to the existing use and occupation of the site.. Proposed demolition of public house and ancillary buildings/structures and construction of 3 houses and 2 bungalows,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2017-09-27,full planning permission,,permissioned,,"The Telmere Lodge, Mansfield Road, Hasland",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3407-15-01141-fl/file,15/01141/FL
,,2017-10-31,,,,0.28,2018-10-31,7,7,7,Demolition of retail unit and proposed residential development,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2017-06-02,outline planning permission,,permissioned,,"115, North Wingfield Road, Grassmoor",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3409-16-01160-ol/file,16/01160/OL
yes,,2017-10-31,,,,0.3,2018-10-31,4,4,4,Although situated outside the Settlement Development Limit the principles of redevelopment have been accepted as part of the outline planning permission.. Demolition of Former Miners Welfare and erection of 4 detached dwellings,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,2018-03-06,full planning permission,,permissioned,,"Pilsley Miners Welfare, Rupert Street, Pilsley",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3389-17-01162-fl/file,17/01162/FL
yes,,2017-10-31,,,,0.39,2018-10-31,8,8,8,Currently decision pending for application to discharge conditions (18/01065/DISCON). Demolition of existing care home and construction of 8 dwellings,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,2016-10-14,full planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=O84U5ALIGQQ00&activeTab=summary,permissioned,,"The Rectory, Rectory Road, Long Duckmanton",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3408-16-00569-fl/file,16/00569/FL
,,2017-10-31,,,,0.13,2018-10-31,8,8,8,Demolition of public house and erection of 8 no. dwellings,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,mixed ownership,2016-12-14,full planning permission,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=MML62LLI01800&activeTab=summary,permissioned,,"Fleur de Lys Hotel, Main Road, Unstone, Dronfield, S18 4AB",https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3406-15-01085-fl/file,15/01085/FL
,,2018-10-31,,,,0.12,2018-10-31,5,5,5,Section 106 completed. Erection of 28 new Dwellings,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,owned by a public authority,2018-02-16,full planning permission,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OHI3TALIIF500,permissioned,,Danesmoor County Infant School Pilsley Road Danesmoor Chesterfield S45 9BN,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3410-16-01251-fl/file,16/01251/FL
,,2018-10-31,,,,0.77,2018-10-31,32,32,32,Latest planning permission (13/00314/FL) for redevelopment of site for 27 two storey dwellings expired in Jan 2017; principle of residential re-development established.. Application for residential development of 32 dwellings,North East Derbyshire District Council,http://opendatacommunities.org/id/district-council/north-east-derbyshire,not owned by a public authority,,full planning permission,https://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PAD864LIFVR00,pending decision,,Deans Foods Ltd Stocks Lane Duckmanton Chesterfield S44 5HZ,https://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/3391-18-00613-fl/file,18/00613/FL
